Gen8

VEHICLE
NUMBER     CAPACITY
30     200

CUSTOMER
CUST NO.     XCOORD.     YCOORD.     DEMAND     READY TIME     DUE DATE     SERVICE TIME

0    23    43    0    0    1000    0
1    85    76    3    813    918    10
2    34    27    5    776    909    10
3    64    20    20    158    588    10
4    13    75    17    477    955    10
5    91    40    4    490    692    10
6    78    27    6    869    931    10
7    82    86    19    462    915    10
8    30    8    6    829    860    10
9    57    3    23    753    873    10
10    0    11    9    671    950    10
11    64    36    3    254    869    10
12    49    61    16    272    593    10
13    23    50    16    643    744    10
14    69    32    19    583    730    10
15    83    22    3    470    499    10
16    41    29    15    768    966    10
17    93    35    23    159    272    10
18    23    74    7    81    733    10
19    94    53    13    530    790    10
20    44    48    26    279    739    10
21    54    61    17    876    952    10
22    63    66    19    272    313    10
23    69    31    7    345    941    10
24    89    64    7    96    292    10
25    96    35    9    359    438    10
26    44    71    32    648    838    10
27    27    45    16    484    983    10
28    66    63    23    890    941    10
29    50    1    4    149    243    10
30    99    43    10    774    912    10
31    46    41    11    952    961    10
32    94    2    24    899    906    10
33    80    56    19    562    662    10
34    21    26    16    640    829    10
35    87    72    6    429    490    10
36    97    60    19    225    326    10
37    88    40    39    686    896    10
38    67    85    28    539    697    10
39    7    84    34    364    474    10
40    56    86    18    256    428    10
41    71    48    27    243    538    10
42    41    65    10    841    960    10
43    60    10    12    139    258    10
44    23    75    31    146    773    10
45    79    55    36    121    493    10
46    67    5    7    862    930    10
47    43    80    17    910    946    10
48    48    12    22    451    812    10
49    77    58    9    508    643    10
50    21    54    2    885    977    10
51    7    23    19    61    144    10
52    29    81    20    49    92    10
53    96    67    5    558    588    10
54    76    98    13    624    700    10
55    79    27    1    180    426    10
56    22    78    6    370    731    10
57    53    16    4    776    948    10
58    47    31    13    631    962    10
59    86    90    22    677    772    10
60    58    25    5    752    949    10
61    95    23    13    430    772    10
62    44    7    25    402    440    10
63    13    75    20    382    955    10
64    32    10    21    55    205    10
65    54    7    14    792    937    10
66    21    59    13    881    972    10
67    65    76    22    664    935    10
68    37    49    22    175    356    10
69    10    86    23    232    655    10
70    37    86    15    196    224    10
71    0    62    8    421    473    10
72    48    86    5    767    938    10
73    10    0    7    705    944    10
74    1    96    20    102    312    10
75    58    21    7    679    851    10
76    9    67    14    185    554    10
77    1    69    1    405    869    10
78    53    75    21    827    945    10
79    79    84    11    868    919    10
80    33    47    27    736    923    10
81    11    79    12    755    950    10
82    9    58    18    694    862    10
83    60    99    8    629    781    10
84    63    65    13    648    943    10
85    33    98    21    203    420    10
86    22    98    16    868    933    10
87    77    17    30    712    928    10
88    63    52    8    427    675    10
89    78    83    9    573    798    10
90    67    63    20    939    940    10
91    41    78    13    555    749    10
92    80    62    13    573    722    10
93    27    70    11    843    937    10
94    41    63    15    589    595    10
95    1    29    24    280    334    10
96    38    52    17    712    730    10
97    97    26    13    756    766    10
98    55    63    3    414    696    10
99    60    45    24    331    409    10
100    54    78    13    464    591    10
