Gen2

VEHICLE
NUMBER     CAPACITY
25     1000

CUSTOMER
CUST NO.     XCOORD.     YCOORD.     DEMAND     READY TIME     DUE DATE     SERVICE TIME

    0    88    24    0    0    1000    0
    1    89    8    1    847    972    10
    2    5    32    6    329    590    10
    3    14    78    22    600    896    10
    4    71    66    17    644    880    10
    5    55    53    22    172    498    10
    6    9    31    23    466    655    10
    7    6    47    24    480    903    10
    8    19    66    25    297    375    10
    9    34    70    25    544    917    10
    10    75    29    1    437    455    10
    11    31    73    25    750    913    10
    12    28    67    30    733    911    10
    13    47    77    27    433    651    10
    14    98    93    25    883    918    10
    15    97    12    11    905    974    10
    16    13    25    27    201    421    10
    17    68    14    14    958    964    10
    18    76    50    3    785    959    10
    19    53    38    10    144    418    10
    20    53    77    4    752    925    10
    21    39    2    30    283    669    10
    22    53    42    14    743    949    10
    23    25    78    11    884    905    10
    24    24    51    2    578    792    10
    25    83    96    2    566    777    10
    26    9    67    11    515    893    10
    27    18    17    25    155    547    10
    28    18    44    15    653    915    10
    29    80    24    7    451    718    10
    30    41    2    12    141    454    10
    31    28    80    21    97    103    10
    32    90    47    31    46    106    10
    33    78    93    13    652    799    10
    34    50    49    22    344    554    10
    35    60    69    34    480    921    10
    36    72    10    16    103    191    10
    37    70    15    4    380    443    10
    38    1    61    1    640    883    10
    39    99    68    19    459    878    10
    40    9    55    13    211    472    10
    41    50    16    9    349    949    10
    42    87    0    14    865    964    10
    43    64    42    24    482    794    10
    44    1    48    21    257    429    10
    45    72    67    29    200    213    10
    46    81    18    29    419    781    10
    47    0    25    19    521    901    10
    48    29    79    9    237    348    10
    49    35    18    22    180    373    10
    50    21    46    14    415    741    10
    51    93    66    3    628    753    10
    52    19    47    13    646    916    10
    53    59    45    6    574    683    10
    54    3    48    14    369    900    10
    55    90    99    2    729    914    10
    56    17    33    11    262    380    10
    57    97    32    18    687    820    10
    58    1    8    7    445    448    10
    59    66    55    27    609    631    10
    60    80    2    3    155    164    10
    61    37    54    13    97    214    10
    62    91    76    21    917    937    10
    63    36    92    14    437    469    10
    64    58    32    14    505    957    10
    65    99    89    29    854    923    10
    66    57    80    20    294    677    10
    67    3    40    23    625    693    10
    68    14    32    6    319    694    10
    69    70    37    5    926    966    10
    70    59    38    4    683    956    10
    71    38    15    4    180    427    10
    72    87    77    12    241    364    10
    73    1    82    2    622    857    10
    74    13    46    26    729    797    10
    75    2    22    10    379    501    10
    76    57    55    19    938    944    10
    77    67    23    7    372    684    10
    78    9    69    13    421    897    10
    79    93    22    5    664    769    10
    80    80    37    21    331    344    10
    81    46    90    12    443    486    10
    82    64    39    26    456    721    10
    83    59    45    14    366    747    10
    84    44    99    7    743    858    10
    85    31    85    14    773    824    10
    86    69    42    15    776    962    10
    87    97    49    23    621    962    10
    88    44    32    1    467    683    10
    89    41    41    3    324    609    10
    90    31    31    22    638    648    10
    91    74    15    22    768    972    10
    92    92    72    16    735    759    10
    93    6    28    3    210    688    10
    94    73    85    8    648    734    10
    95    57    73    24    811    930    10
    96    48    72    27    454    472    10
    97    49    53    24    672    939    10
    98    11    89    18    223    589    10
    99    14    54    11    430    708    10
    100    78    21    26    628    965    10
