Gen1

VEHICLE
NUMBER     CAPACITY
25     1000

CUSTOMER
CUST NO.     XCOORD.     YCOORD.     DEMAND     READY TIME     DUE DATE     SERVICE TIME

    0    24    61    0    0    1000    0
    1    85    63    32    563    719    10
    2    0    57    27    834    964    10
    3    91    31    6    849    915    10
    4    23    38    21    625    662    10
    5    98    97    6    568    701    10
    6    15    3    12    61    69    10
    7    46    18    20    155    570    10
    8    18    54    1    351    480    10
    9    97    63    24    859    916    10
    10    37    96    10    435    935    10
    11    54    80    21    834    953    10
    12    88    86    18    563    724    10
    13    38    94    24    257    589    10
    14    53    79    30    278    333    10
    15    99    27    23    440    692    10
    16    50    46    2    382    548    10
    17    81    62    27    244    775    10
    18    26    74    30    443    733    10
    19    74    35    18    399    567    10
    20    3    64    6    482    761    10
    21    48    5    17    844    927    10
    22    20    59    20    225    565    10
    23    73    35    14    543    933    10
    24    94    5    19    708    715    10
    25    8    42    17    271    371    10
    26    46    61    4    279    609    10
    27    6    47    18    839    965    10
    28    85    76    19    330    926    10
    29    49    62    3    308    481    10
    30    62    22    8    79    221    10
    31    6    60    14    340    495    10
    32    74    85    5    166    172    10
    33    76    31    15    513    568    10
    34    49    32    28    826    950    10
    35    17    20    37    887    946    10
    36    97    2    3    512    856    10
    37    43    27    3    713    950    10
    38    66    66    16    942    947    10
    39    41    13    34    319    652    10
    40    7    61    10    119    230    10
    41    39    44    21    225    315    10
    42    81    86    13    600    700    10
    43    53    11    18    247    395    10
    44    92    32    8    614    815    10
    45    8    19    8    701    707    10
    46    37    69    26    182    963    10
    47    79    43    14    884    914    10
    48    60    78    13    209    381    10
    49    8    58    21    781    823    10
    50    3    97    4    394    673    10
    51    11    25    5    371    430    10
    52    2    21    2    601    842    10
    53    7    95    7    76    87    10
    54    98    86    15    394    867    10
    55    34    98    11    921    951    10
    56    83    79    17    68    298    10
    57    13    49    14    959    972    10
    58    11    67    18    428    859    10
    59    35    16    36    758    936    10
    60    11    76    26    604    633    10
    61    14    44    1    614    750    10
    62    26    24    8    97    520    10
    63    5    11    7    795    934    10
    64    99    30    13    596    907    10
    65    81    70    26    771    899    10
    66    48    92    26    148    192    10
    67    35    23    9    307    348    10
    68    51    85    4    261    490    10
    69    20    60    14    304    422    10
    70    77    57    26    478    623    10
    71    70    27    25    429    462    10
    72    97    25    10    144    324    10
    73    79    43    8    237    372    10
    74    72    42    19    408    463    10
    75    64    29    1    455    698    10
    76    94    17    3    626    774    10
    77    8    51    11    156    562    10
    78    38    56    19    639    826    10
    79    35    26    12    683    851    10
    80    86    86    20    454    613    10
    81    49    47    10    754    936    10
    82    32    54    11    832    905    10
    83    98    17    8    795    903    10
    84    33    88    25    448    960    10
    85    33    76    4    953    971    10
    86    48    76    25    63    255    10
    87    21    73    25    566    605    10
    88    29    24    17    721    825    10
    89    23    5    12    431    806    10
    90    97    61    23    596    684    10
    91    75    7    17    251    465    10
    92    58    62    26    473    834    10
    93    30    13    25    540    940    10
    94    58    86    5    186    214    10
    95    8    33    17    274    317    10
    96    52    45    12    651    956    10
    97    51    14    22    348    588    10
    98    2    35    24    438    487    10
    99    91    86    18    800    917    10
    100    68    16    22    562    926    10
