Gen7

VEHICLE
NUMBER     CAPACITY
25     1000

CUSTOMER
CUST NO.     XCOORD.     YCOORD.     DEMAND     READY TIME     DUE DATE     SERVICE TIME

    0    52    14    0    0    1000    0
    1    97    93    7    805    897    10
    2    50    47    9    372    422    10
    3    91    19    23    220    243    10
    4    74    71    13    216    927    10
    5    76    65    15    689    933    10
    6    8    16    25    874    945    10
    7    45    94    7    708    833    10
    8    43    85    32    417    790    10
    9    39    39    28    465    495    10
    10    80    49    1    399    623    10
    11    73    40    8    366    645    10
    12    26    53    20    410    943    10
    13    17    37    25    515    835    10
    14    73    15    22    705    967    10
    15    30    28    13    673    964    10
    16    21    32    18    39    448    10
    17    90    87    11    333    426    10
    18    31    86    19    866    914    10
    19    89    72    12    417    440    10
    20    26    25    32    355    423    10
    21    93    91    24    178    444    10
    22    45    39    16    730    733    10
    23    33    85    20    108    311    10
    24    15    28    18    696    715    10
    25    12    1    16    321    478    10
    26    46    0    12    172    323    10
    27    50    4    15    342    918    10
    28    98    3    14    788    941    10
    29    63    19    1    291    538    10
    30    48    9    6    786    949    10
    31    60    44    5    488    492    10
    32    75    13    6    204    720    10
    33    14    77    2    245    472    10
    34    29    61    23    819    876    10
    35    4    34    23    907    937    10
    36    50    14    9    650    902    10
    37    58    84    15    633    715    10
    38    4    31    14    904    938    10
    39    60    62    9    706    940    10
    40    68    92    29    194    253    10
    41    45    28    39    55    208    10
    42    62    66    7    677    829    10
    43    94    59    27    815    927    10
    44    3    35    17    891    936    10
    45    55    95    2    884    908    10
    46    60    19    28    496    979    10
    47    83    11    4    45    111    10
    48    84    5    28    624    713    10
    49    60    80    13    240    761    10
    50    80    34    25    654    668    10
    51    20    81    6    198    638    10
    52    72    43    19    771    888    10
    53    44    2    3    602    911    10
    54    66    44    16    852    956    10
    55    95    19    31    176    582    10
    56    76    32    24    904    958    10
    57    83    46    9    420    652    10
    58    12    29    5    617    673    10
    59    85    49    17    643    895    10
    60    15    49    4    258    352    10
    61    68    31    3    586    655    10
    62    16    18    34    329    571    10
    63    71    53    1    70    263    10
    64    61    59    7    870    943    10
    65    31    7    14    474    850    10
    66    54    75    29    229    790    10
    67    21    38    12    806    890    10
    68    7    38    32    268    464    10
    69    60    14    14    762    980    10
    70    8    29    4    928    942    10
    71    70    13    31    458    880    10
    72    15    23    10    410    511    10
    73    29    77    24    827    869    10
    74    3    14    10    728    873    10
    75    88    35    7    537    801    10
    76    54    16    22    7    248    10
    77    23    70    12    512    569    10
    78    3    27    33    868    938    10
    79    7    53    13    282    390    10
    80    65    33    8    206    374    10
    81    18    62    1    315    434    10
    82    49    71    1    236    700    10
    83    18    15    14    608    942    10
    84    45    38    15    776    964    10
    85    57    2    3    822    975    10
    86    35    66    34    215    471    10
    87    50    57    24    869    946    10
    88    57    34    10    542    749    10
    89    28    16    16    848    965    10
    90    72    32    10    789    962    10
    91    7    33    15    328    629    10
    92    68    41    30    881    957    10
    93    32    4    13    371    687    10
    94    37    32    15    69    202    10
    95    11    23    17    940    947    10
    96    71    60    16    861    940    10
    97    63    42    27    526    814    10
    98    46    90    24    125    497    10
    99    75    95    7    351    772    10
    100    93    68    18    548    688    10
