Gen9

VEHICLE
NUMBER     CAPACITY
25     1000

CUSTOMER
CUST NO.     XCOORD.     YCOORD.     DEMAND     READY TIME     DUE DATE     SERVICE TIME

    0    69    64    0    0    1000    0
    1    92    82    6    153    447    10
    2    2    31    11    369    407    10
    3    12    77    23    370    530    10
    4    91    77    15    357    805    10
    5    30    95    8    378    478    10
    6    76    51    12    429    908    10
    7    8    35    16    276    368    10
    8    5    89    25    607    715    10
    9    24    45    1    564    619    10
    10    9    72    18    139    527    10
    11    66    92    4    877    960    10
    12    49    7    1    352    491    10
    13    50    16    14    836    937    10
    14    33    79    32    584    794    10
    15    52    68    22    117    427    10
    16    76    78    6    794    973    10
    17    32    30    17    795    938    10
    18    12    20    9    374    883    10
    19    75    66    15    483    601    10
    20    58    32    35    811    893    10
    21    56    34    17    597    728    10
    22    64    27    9    683    951    10
    23    32    29    24    264    311    10
    24    95    20    13    283    653    10
    25    28    95    8    806    937    10
    26    56    70    5    954    974    10
    27    17    91    13    114    204    10
    28    40    41    17    299    335    10
    29    30    32    19    125    248    10
    30    70    84    38    745    855    10
    31    50    54    15    511    966    10
    32    3    26    15    762    912    10
    33    26    9    10    847    919    10
    34    99    15    31    522    701    10
    35    3    67    16    474    922    10
    36    47    54    11    252    646    10
    37    50    50    1    320    330    10
    38    37    26    18    659    938    10
    39    73    30    13    272    324    10
    40    15    45    9    343    346    10
    41    29    5    14    233    917    10
    42    53    34    26    744    785    10
    43    25    12    22    565    920    10
    44    78    85    15    643    966    10
    45    18    25    18    514    749    10
    46    14    34    21    482    690    10
    47    88    28    1    687    840    10
    48    44    24    6    530    672    10
    49    86    95    4    241    465    10
    50    39    40    25    254    511    10
    51    55    92    9    785    954    10
    52    79    97    16    71    134    10
    53    83    74    17    571    760    10
    54    75    58    25    655    981    10
    55    17    20    1    614    627    10
    56    12    66    6    213    602    10
    57    1    35    7    395    565    10
    58    21    22    21    917    925    10
    59    43    41    12    823    954    10
    60    85    97    25    615    677    10
    61    27    63    42    686    740    10
    62    35    62    3    435    488    10
    63    98    21    11    534    772    10
    64    59    86    19    505    537    10
    65    13    41    8    424    895    10
    66    51    96    34    947    952    10
    67    80    10    16    909    934    10
    68    48    88    7    498    517    10
    69    24    2    15    868    911    10
    70    87    88    9    552    632    10
    71    89    92    20    548    955    10
    72    57    98    36    314    705    10
    73    43    4    2    90    268    10
    74    32    68    8    92    788    10
    75    93    25    21    579    729    10
    76    61    67    9    205    312    10
    77    0    74    7    703    918    10
    78    34    67    13    630    716    10
    79    51    61    23    476    802    10
    80    19    84    26    791    884    10
    81    21    2    11    348    444    10
    82    45    53    11    649    702    10
    83    11    5    11    454    631    10
    84    81    87    10    931    963    10
    85    54    85    17    70    199    10
    86    17    48    23    268    453    10
    87    48    94    21    340    952    10
    88    51    12    26    87    238    10
    89    19    1    12    819    908    10
    90    6    85    12    548    795    10
    91    31    4    2    718    917    10
    92    90    13    8    553    895    10
    93    67    5    9    857    930    10
    94    59    94    2    239    307    10
    95    2    82    1    575    842    10
    96    51    91    11    130    361    10
    97    25    49    3    225    923    10
    98    97    60    13    173    280    10
    99    53    77    18    50    261    10
    100    49    61    19    117    443    10
