Gen6

VEHICLE
NUMBER     CAPACITY
25     1000

CUSTOMER
CUST NO.     XCOORD.     YCOORD.     DEMAND     READY TIME     DUE DATE     SERVICE TIME

    0    22    80    0    0    1000    0
    1    64    80    21    799    824    10
    2    31    19    20    220    234    10
    3    43    15    9    517    583    10
    4    30    73    12    753    978    10
    5    32    33    5    873    940    10
    6    75    77    12    461    674    10
    7    96    77    18    209    454    10
    8    11    80    25    930    977    10
    9    81    38    8    868    916    10
    10    56    3    7    858    904    10
    11    96    59    2    246    380    10
    12    91    84    16    876    903    10
    13    51    66    6    342    522    10
    14    3    44    19    851    947    10
    15    44    18    4    700    923    10
    16    19    8    6    263    323    10
    17    92    48    1    836    912    10
    18    53    26    20    839    926    10
    19    5    77    11    502    774    10
    20    17    66    4    256    317    10
    21    83    14    19    365    555    10
    22    43    98    6    186    334    10
    23    89    14    31    826    894    10
    24    83    26    38    146    614    10
    25    33    19    19    634    815    10
    26    65    76    24    604    771    10
    27    98    77    12    714    912    10
    28    77    26    18    903    911    10
    29    39    13    2    72    311    10
    30    8    93    4    915    969    10
    31    1    32    17    277    629    10
    32    2    5    10    695    801    10
    33    39    16    25    719    922    10
    34    84    80    24    178    396    10
    35    47    8    37    643    829    10
    36    62    32    8    858    926    10
    37    97    12    17    731    737    10
    38    63    88    29    489    662    10
    39    57    86    1    720    953    10
    40    76    66    21    190    540    10
    41    92    37    14    868    907    10
    42    92    20    20    218    802    10
    43    68    87    23    144    153    10
    44    20    55    27    107    328    10
    45    70    44    22    453    928    10
    46    90    1    12    169    510    10
    47    18    54    8    192    404    10
    48    89    20    2    625    754    10
    49    76    24    25    507    842    10
    50    6    42    8    608    947    10
    51    90    7    19    528    585    10
    52    31    84    6    227    351    10
    53    1    54    8    754    954    10
    54    74    8    19    577    667    10
    55    63    53    20    779    940    10
    56    70    27    16    736    896    10
    57    55    20    32    498    648    10
    58    98    12    11    580    695    10
    59    60    55    18    704    757    10
    60    96    66    1    856    913    10
    61    95    74    9    699    718    10
    62    58    65    12    934    950    10
    63    84    76    16    248    594    10
    64    98    71    24    677    912    10
    65    29    67    13    148    230    10
    66    40    62    16    843    951    10
    67    20    44    21    435    614    10
    68    1    42    24    632    944    10
    69    10    34    8    160    478    10
    70    70    97    18    223    366    10
    71    54    93    24    400    611    10
    72    64    37    23    872    928    10
    73    87    8    21    345    433    10
    74    20    99    28    764    970    10
    75    85    48    2    301    782    10
    76    89    53    19    154    607    10
    77    44    33    12    694    937    10
    78    20    89    5    88    551    10
    79    51    71    1    757    958    10
    80    59    91    29    495    895    10
    81    76    28    14    168    452    10
    82    45    81    8    410    423    10
    83    94    59    10    543    558    10
    84    50    72    11    946    959    10
    85    57    3    28    864    903    10
    86    85    44    13    556    917    10
    87    41    10    12    575    604    10
    88    64    79    18    113    224    10
    89    47    29    15    493    932    10
    90    65    40    20    183    426    10
    91    89    89    14    556    922    10
    92    66    52    14    104    333    10
    93    71    78    22    149    260    10
    94    26    34    40    820    942    10
    95    2    30    28    663    935    10
    96    55    1    2    434    542    10
    97    13    76    17    700    927    10
    98    76    8    2    861    899    10
    99    22    76    12    736    984    10
    100    44    72    39    859    966    10
