Gen3

VEHICLE
NUMBER     CAPACITY
25     1000

CUSTOMER
CUST NO.     XCOORD.     YCOORD.     DEMAND     READY TIME     DUE DATE     SERVICE TIME

    0    25    81    0    0    1000    0
    1    83    45    2    740    851    10
    2    41    14    8    464    681    10
    3    78    57    6    181    242    10
    4    18    70    2    279    423    10
    5    33    49    15    281    370    10
    6    37    45    9    761    950    10
    7    72    38    26    242    296    10
    8    9    84    21    339    647    10
    9    23    34    16    403    545    10
    10    26    50    20    344    950    10
    11    31    72    22    24    228    10
    12    31    29    11    761    936    10
    13    98    98    21    305    557    10
    14    39    75    13    679    973    10
    15    96    68    5    570    652    10
    16    89    86    22    843    924    10
    17    26    38    13    99    475    10
    18    44    54    10    687    955    10
    19    90    75    15    250    749    10
    20    1    37    16    636    939    10
    21    21    66    10    408    951    10
    22    43    29    17    611    637    10
    23    9    49    25    552    681    10
    24    77    55    26    489    665    10
    25    83    9    14    520    896    10
    26    80    32    6    210    252    10
    27    4    38    15    935    941    10
    28    90    18    17    191    301    10
    29    65    76    7    783    947    10
    30    52    77    17    610    651    10
    31    2    86    17    895    965    10
    32    16    65    22    196    406    10
    33    5    32    21    146    483    10
    34    52    20    8    233    562    10
    35    54    76    6    424    689    10
    36    61    66    2    438    949    10
    37    82    51    24    302    700    10
    38    2    16    33    358    707    10
    39    69    45    11    779    826    10
    40    94    75    10    900    919    10
    41    44    70    10    55    598    10
    42    74    97    5    499    643    10
    43    80    89    3    75    208    10
    44    94    99    34    570    917    10
    45    96    11    12    148    221    10
    46    55    55    28    668    948    10
    47    81    66    16    403    459    10
    48    76    71    13    709    936    10
    49    24    48    14    422    486    10
    50    91    99    2    758    771    10
    51    44    86    21    272    621    10
    52    66    43    2    155    265    10
    53    95    88    13    81    144    10
    54    60    95    12    796    866    10
    55    21    15    20    210    669    10
    56    52    58    22    950    952    10
    57    25    79    20    469    987    10
    58    56    7    18    612    730    10
    59    12    99    14    934    967    10
    60    53    56    4    90    213    10
    61    85    49    22    767    912    10
    62    86    27    17    379    634    10
    63    15    1    33    263    456    10
    64    88    71    17    289    638    10
    65    16    51    11    897    958    10
    66    82    39    26    143    231    10
    67    92    17    4    668    895    10
    68    91    36    1    546    909    10
    69    66    72    18    435    723    10
    70    81    81    14    121    418    10
    71    97    37    14    785    904    10
    72    97    61    23    273    804    10
    73    0    50    16    356    899    10
    74    34    3    14    239    765    10
    75    81    35    3    668    915    10
    76    97    43    28    157    160    10
    77    43    11    8    650    916    10
    78    93    55    5    614    915    10
    79    69    12    10    741    906    10
    80    15    20    20    397    438    10
    81    59    22    6    318    394    10
    82    10    67    22    175    197    10
    83    54    42    20    201    394    10
    84    35    79    16    474    861    10
    85    91    60    24    590    752    10
    86    29    7    31    755    915    10
    87    66    90    27    446    603    10
    88    12    82    8    24    219    10
    89    81    1    10    686    890    10
    90    12    92    1    560    782    10
    91    82    12    17    675    899    10
    92    79    2    16    872    893    10
    93    39    75    12    101    366    10
    94    89    63    33    378    760    10
    95    48    55    20    173    529    10
    96    41    18    11    893    923    10
    97    15    22    14    425    765    10
    98    56    59    40    767    950    10
    99    31    16    22    685    923    10
    100    98    52    29    484    909    10
