Gen8

VEHICLE
NUMBER     CAPACITY
30     500

CUSTOMER
CUST NO.     XCOORD.     YCOORD.     DEMAND     READY TIME     DUE DATE     SERVICE TIME

0    67    63    0    0    1000    0
1    69    36    25    496    655    10
2    16    8    10    127    353    10
3    97    26    3    419    596    10
4    98    14    7    648    714    10
5    77    50    11    464    581    10
6    66    31    16    448    804    10
7    33    99    21    263    416    10
8    91    9    21    381    422    10
9    8    30    19    756    920    10
10    41    11    9    157    767    10
11    92    66    39    759    880    10
12    20    53    8    741    827    10
13    67    78    6    852    973    10
14    99    88    19    128    268    10
15    16    37    5    333    354    10
16    91    97    24    172    194    10
17    17    37    3    274    690    10
18    48    87    26    308    807    10
19    12    45    30    80    188    10
20    37    69    17    274    328    10
21    37    68    8    803    947    10
22    31    91    8    489    676    10
23    81    59    13    621    952    10
24    31    53    31    315    508    10
25    88    94    18    709    951    10
26    35    3    6    555    846    10
27    30    71    5    125    265    10
28    13    3    23    460    629    10
29    45    98    29    679    947    10
30    11    20    22    178    364    10
31    53    33    25    595    627    10
32    80    76    29    502    720    10
33    68    63    23    404    656    10
34    11    6    6    99    673    10
35    84    42    6    819    822    10
36    33    37    19    273    702    10
37    48    63    3    788    969    10
38    34    77    18    72    242    10
39    60    2    15    788    927    10
40    56    79    23    35    202    10
41    41    44    9    702    780    10
42    95    1    14    249    658    10
43    23    8    14    318    552    10
44    31    16    11    615    929    10
45    17    89    28    308    433    10
46    36    19    23    387    729    10
47    25    69    21    290    348    10
48    72    22    38    256    427    10
49    17    49    10    254    777    10
50    81    67    17    904    944    10
51    29    79    24    409    552    10
52    16    58    7    556    764    10
53    96    86    24    936    952    10
54    6    84    23    383    924    10
55    43    93    15    226    448    10
56    84    17    7    68    350    10
57    90    37    14    108    192    10
58    7    63    23    514    637    10
59    51    2    40    888    925    10
60    48    33    18    634    929    10
61    80    90    17    90    330    10
62    49    53    20    58    196    10
63    23    91    14    864    937    10
64    97    92    1    489    520    10
65    0    55    6    896    920    10
66    99    62    14    408    573    10
67    99    62    20    780    954    10
68    76    2    12    495    583    10
69    74    79    1    582    683    10
70    85    95    20    95    160    10
71    1    46    25    777    871    10
72    23    86    18    670    819    10
73    34    11    18    82    202    10
74    88    96    20    82    151    10
75    54    14    15    395    459    10
76    75    57    15    804    978    10
77    10    1    22    396    484    10
78    89    45    12    298    308    10
79    96    90    12    581    862    10
80    56    61    20    601    977    10
81    77    54    36    727    975    10
82    11    14    11    711    897    10
83    81    48    14    637    743    10
84    22    34    15    381    393    10
85    67    73    10    613    915    10
86    80    64    17    550    730    10
87    97    48    2    196    713    10
88    88    19    21    746    924    10
89    14    90    11    89    316    10
90    17    2    25    853    910    10
91    74    6    24    811    864    10
92    91    68    20    834    964    10
93    24    30    20    740    919    10
94    45    29    2    594    649    10
95    28    82    23    546    666    10
96    62    79    20    203    646    10
97    25    78    16    48    638    10
98    9    73    12    301    489    10
99    65    28    28    711    865    10
100    39    87    26    382    385    10
101    18    61    8    794    876    10
102    80    9    31    164    547    10
103    38    26    35    681    788    10
104    59    3    11    828    928    10
105    39    36    26    179    531    10
106    50    10    24    197    396    10
107    67    61    7    838    883    10
108    24    6    5    404    917    10
109    43    86    5    863    955    10
110    26    20    30    501    709    10
111    34    21    17    665    859    10
112    45    95    21    846    950    10
113    73    5    1    906    930    10
114    52    47    11    941    944    10
115    81    16    25    677    763    10
116    11    67    18    222    431    10
117    98    91    9    418    421    10
118    77    12    6    737    917    10
119    54    88    1    654    895    10
120    69    4    8    336    521    10
121    5    34    23    659    742    10
122    65    18    23    187    205    10
123    91    4    22    658    843    10
124    14    24    14    676    742    10
125    49    86    22    299    518    10
126    68    30    26    627    724    10
127    60    89    1    348    745    10
128    64    39    9    733    805    10
129    85    42    7    620    685    10
130    25    98    8    172    343    10
131    62    45    27    955    958    10
132    27    44    27    77    611    10
133    80    93    30    448    659    10
134    7    68    22    759    928    10
135    68    70    26    417    584    10
136    34    84    10    790    950    10
137    3    84    20    309    678    10
138    50    6    28    788    811    10
139    68    93    13    293    366    10
140    72    3    15    461    832    10
141    52    69    14    310    534    10
142    68    95    12    566    588    10
143    78    17    29    829    941    10
144    23    17    27    297    875    10
145    18    64    3    579    806    10
146    11    19    19    339    806    10
147    0    29    7    727    913    10
148    27    87    23    569    623    10
149    39    2    8    78    668    10
150    55    65    1    649    685    10
