Gen8

VEHICLE
NUMBER     CAPACITY
30     500

CUSTOMER
CUST NO.     XCOORD.     YCOORD.     DEMAND     READY TIME     DUE DATE     SERVICE TIME

0    4    40    0    0    1000    0
1    91    27    1    385    394    10
2    17    32    12    708    974    10
3    7    87    2    433    849    10
4    79    6    4    395    633    10
5    46    99    16    833    916    10
6    92    16    25    317    646    10
7    75    98    13    557    575    10
8    31    46    32    916    961    10
9    67    59    12    504    533    10
10    51    94    1    176    680    10
11    39    99    1    387    669    10
12    90    16    5    677    759    10
13    2    15    19    320    381    10
14    77    40    2    471    622    10
15    24    37    18    447    969    10
16    96    81    37    563    642    10
17    28    91    3    159    267    10
18    33    54    6    595    718    10
19    38    60    2    879    884    10
20    91    4    20    227    230    10
21    77    58    6    94    478    10
22    53    13    14    280    370    10
23    34    98    9    420    924    10
24    58    6    30    722    925    10
25    78    8    8    223    643    10
26    0    28    39    761    976    10
27    44    94    19    425    687    10
28    79    36    2    438    457    10
29    23    20    35    719    807    10
30    99    65    21    800    838    10
31    63    6    28    772    811    10
32    59    38    24    648    827    10
33    5    88    7    366    381    10
34    69    43    7    384    534    10
35    83    55    3    792    908    10
36    86    45    10    489    906    10
37    82    33    16    301    487    10
38    53    34    5    880    940    10
39    83    38    20    415    715    10
40    96    82    14    230    287    10
41    37    31    21    953    955    10
42    92    64    11    487    731    10
43    53    40    10    498    672    10
44    43    90    2    726    874    10
45    66    90    12    251    456    10
46    13    89    7    204    514    10
47    57    59    20    283    611    10
48    58    69    34    299    474    10
49    73    2    14    590    623    10
50    82    52    3    453    816    10
51    80    1    5    398    746    10
52    64    45    2    131    153    10
53    87    61    19    487    492    10
54    57    81    15    799    852    10
55    62    7    1    137    581    10
56    46    92    25    230    485    10
57    54    74    26    802    846    10
58    9    84    2    402    480    10
59    24    45    8    542    676    10
60    5    68    8    613    960    10
61    54    97    14    385    830    10
62    60    38    18    619    811    10
63    79    21    22    464    911    10
64    70    21    7    176    469    10
65    43    66    16    718    896    10
66    77    48    14    675    916    10
67    7    35    25    495    983    10
68    43    76    19    192    447    10
69    81    57    13    460    910    10
70    24    40    3    930    969    10
71    26    9    13    257    438    10
72    20    10    4    622    630    10
73    56    75    23    110    159    10
74    58    51    11    266    269    10
75    93    98    10    439    802    10
76    44    84    11    106    271    10
77    71    7    19    493    657    10
78    87    26    1    182    575    10
79    56    33    9    391    586    10
80    65    45    15    422    772    10
81    82    55    4    199    204    10
82    93    69    6    413    576    10
83    61    67    16    629    769    10
84    24    51    29    563    580    10
85    78    35    15    168    451    10
86    68    18    6    882    916    10
87    70    81    36    411    545    10
88    77    1    3    362    425    10
89    84    29    19    815    908    10
90    9    0    22    767    948    10
91    83    78    1    337    838    10
92    98    1    8    348    649    10
93    61    47    17    384    609    10
94    36    80    10    128    202    10
95    90    48    29    257    393    10
96    67    20    8    374    457    10
97    95    27    29    460    602    10
98    49    12    3    75    153    10
99    55    76    16    301    428    10
100    86    42    8    317    570    10
101    16    53    9    946    971    10
102    68    44    26    78    118    10
103    50    85    1    709    729    10
104    9    51    1    665    977    10
105    40    46    17    102    531    10
106    96    24    12    504    772    10
107    30    85    9    574    875    10
108    89    20    1    426    902    10
109    84    6    1    186    379    10
110    63    86    10    259    342    10
111    48    7    10    891    934    10
112    56    39    13    638    937    10
113    70    43    8    641    918    10
114    43    51    21    939    948    10
115    10    71    1    285    326    10
116    50    79    12    428    929    10
117    54    48    4    842    939    10
118    20    41    13    428    646    10
119    36    14    1    863    895    10
120    10    23    6    556    571    10
121    60    72    21    720    858    10
122    0    74    6    411    430    10
123    13    88    21    330    400    10
124    16    17    21    192    410    10
125    82    72    17    617    624    10
126    7    12    8    603    738    10
127    70    1    13    540    804    10
128    11    15    4    767    962    10
129    44    31    27    513    516    10
130    95    49    35    232    542    10
131    21    31    16    725    960    10
132    36    55    13    896    953    10
133    15    40    13    464    591    10
134    29    27    7    464    471    10
135    43    42    4    366    555    10
136    69    45    18    589    676    10
137    36    78    14    133    380    10
138    37    48    10    292    925    10
139    89    17    28    832    901    10
140    65    29    12    69    345    10
141    35    67    8    728    858    10
142    58    54    33    704    933    10
143    16    92    20    544    903    10
144    94    13    24    731    738    10
145    65    38    25    532    764    10
146    16    66    14    930    960    10
147    37    20    27    847    908    10
148    88    77    14    745    897    10
149    34    83    1    239    890    10
150    31    5    3    867    927    10
