Gen8

VEHICLE
NUMBER     CAPACITY
30     500

CUSTOMER
CUST NO.     XCOORD.     YCOORD.     DEMAND     READY TIME     DUE DATE     SERVICE TIME

0    62    82    0    0    1000    0
1    4    74    12    455    492    10
2    23    29    18    684    854    10
3    98    37    1    204    352    10
4    4    62    11    749    852    10
5    69    37    15    665    677    10
6    96    21    20    588    791    10
7    1    30    20    854    857    10
8    37    83    1    163    540    10
9    37    68    12    361    413    10
10    30    4    26    358    661    10
11    15    61    15    651    937    10
12    78    27    32    198    274    10
13    34    54    25    759    796    10
14    30    40    4    657    731    10
15    99    20    13    421    556    10
16    30    5    1    539    591    10
17    53    57    7    227    375    10
18    89    48    31    577    624    10
19    76    82    8    119    389    10
20    84    75    4    152    236    10
21    13    49    14    537    767    10
22    1    2    24    231    436    10
23    27    20    3    441    746    10
24    6    61    16    454    853    10
25    2    45    25    539    838    10
26    37    0    27    255    399    10
27    90    89    21    173    177    10
28    10    16    7    331    904    10
29    92    73    37    435    561    10
30    18    9    12    224    687    10
31    91    13    2    618    771    10
32    54    90    12    205    217    10
33    86    34    14    522    580    10
34    98    35    9    716    929    10
35    66    70    25    833    973    10
36    91    40    3    75    258    10
37    25    40    11    283    296    10
38    69    59    1    430    856    10
39    69    47    5    755    769    10
40    25    66    4    707    900    10
41    33    37    32    783    909    10
42    93    32    16    786    875    10
43    25    72    6    488    688    10
44    97    2    3    436    609    10
45    33    37    21    804    909    10
46    70    32    15    427    564    10
47    79    95    11    726    958    10
48    77    27    13    82    383    10
49    35    60    9    621    702    10
50    28    25    11    389    443    10
51    0    67    22    774    915    10
52    56    91    5    659    783    10
53    97    9    26    547    908    10
54    75    22    1    638    712    10
55    31    20    1    799    822    10
56    76    67    12    47    129    10
57    2    38    11    631    682    10
58    42    80    3    508    750    10
59    4    43    14    657    707    10
60    23    71    20    562    948    10
61    0    81    11    223    540    10
62    14    38    1    550    729    10
63    78    18    8    699    923    10
64    58    74    13    584    796    10
65    15    79    11    901    941    10
66    30    44    5    109    165    10
67    41    7    5    698    874    10
68    93    55    7    397    612    10
69    83    62    17    119    426    10
70    63    26    16    830    879    10
71    24    69    30    203    405    10
72    35    55    15    334    596    10
73    3    36    18    643    725    10
74    36    67    23    332    620    10
75    44    2    8    835    907    10
76    94    28    34    362    604    10
77    7    13    12    529    703    10
78    6    22    30    314    326    10
79    98    66    20    341    701    10
80    12    24    6    821    912    10
81    17    90    24    896    943    10
82    31    11    20    867    911    10
83    51    34    23    348    441    10
84    3    21    21    437    528    10
85    75    4    1    323    719    10
86    13    91    8    462    939    10
87    6    29    22    550    853    10
88    99    44    7    421    901    10
89    30    62    8    151    162    10
90    72    24    36    201    487    10
91    15    12    11    404    885    10
92    28    39    16    919    934    10
93    77    87    25    420    664    10
94    80    61    7    154    239    10
95    60    18    21    656    784    10
96    4    19    12    289    414    10
97    15    70    16    763    940    10
98    10    70    10    321    473    10
99    6    6    7    546    685    10
100    48    47    6    770    895    10
101    39    24    25    886    926    10
102    91    40    18    296    728    10
103    45    67    30    264    418    10
104    99    54    18    761    871    10
105    74    67    15    721    760    10
106    99    5    6    788    903    10
107    2    12    16    795    897    10
108    80    7    35    719    734    10
109    70    19    22    655    758    10
110    37    41    13    889    940    10
111    5    41    13    670    918    10
112    65    85    29    743    801    10
113    99    40    10    419    430    10
114    1    65    17    770    925    10
115    73    30    23    301    639    10
116    78    35    2    667    940    10
117    26    68    26    638    784    10
118    61    76    22    821    827    10
119    99    50    12    892    940    10
120    86    69    5    475    818    10
121    22    50    31    804    855    10
122    3    86    1    812    929    10
123    76    42    16    863    946    10
124    71    97    10    610    813    10
125    89    71    23    657    960    10
126    76    65    11    466    763    10
127    88    88    19    91    165    10
128    34    28    5    444    927    10
129    76    25    8    285    890    10
130    14    24    13    200    682    10
131    53    59    13    705    948    10
132    99    88    14    836    951    10
133    94    30    22    74    263    10
134    85    18    14    364    395    10
135    99    85    9    494    525    10
136    99    48    39    867    939    10
137    13    77    4    358    594    10
138    40    7    14    676    910    10
139    85    26    14    295    494    10
140    58    35    6    922    941    10
141    87    80    22    616    963    10
142    25    8    21    748    813    10
143    97    24    11    499    541    10
144    58    56    8    549    552    10
145    51    51    5    637    956    10
146    89    20    19    844    921    10
147    53    66    15    39    409    10
148    38    60    25    738    956    10
149    59    32    15    590    796    10
150    32    72    10    137    352    10
