Gen8

VEHICLE
NUMBER     CAPACITY
30     70

CUSTOMER
CUST NO.     XCOORD.     YCOORD.     DEMAND     READY TIME     DUE DATE     SERVICE TIME

0    2    62    0    0    1000    0
1    15    96    16    330    608    10
2    72    52    10    707    918    10
3    69    75    13    496    576    10
4    83    88    12    274    710    10
5    56    68    23    468    539    10
6    19    91    15    611    755    10
7    80    85    8    492    581    10
8    69    69    1    310    921    10
9    23    52    5    251    719    10
10    47    37    14    566    656    10
11    25    54    6    477    513    10
12    99    78    1    766    890    10
13    90    41    29    254    553    10
14    8    75    8    419    478    10
15    31    42    21    47    539    10
16    61    78    5    594    776    10
17    21    96    39    418    697    10
18    19    33    4    435    600    10
19    11    33    14    512    562    10
20    63    43    1    776    925    10
