Gen8

VEHICLE
NUMBER     CAPACITY
30     70

CUSTOMER
CUST NO.     XCOORD.     YCOORD.     DEMAND     READY TIME     DUE DATE     SERVICE TIME

0    8    70    0    0    1000    0
1    6    2    30    96    271    10
2    60    75    9    286    299    10
3    52    9    27    342    690    10
4    46    23    23    714    927    10
5    55    56    11    469    549    10
6    84    66    1    772    811    10
7    26    93    26    475    960    10
8    7    16    30    162    214    10
9    28    39    2    510    769    10
10    86    3    3    263    620    10
11    7    5    14    303    676    10
12    92    11    23    412    446    10
13    7    13    26    854    931    10
14    90    49    27    323    440    10
15    29    49    11    803    959    10
16    56    7    24    856    909    10
17    74    31    13    776    911    10
18    44    74    13    767    952    10
19    92    82    18    308    322    10
20    33    44    17    829    952    10
