Gen8

VEHICLE
NUMBER     CAPACITY
30     70

CUSTOMER
CUST NO.     XCOORD.     YCOORD.     DEMAND     READY TIME     DUE DATE     SERVICE TIME

0    55    8    0    0    1000    0
1    7    75    26    867    907    10
2    33    21    2    88    607    10
3    33    95    3    704    857    10
4    47    91    8    591    906    10
5    31    98    17    123    135    10
6    45    22    15    787    972    10
7    50    92    7    135    190    10
8    4    74    21    787    899    10
9    51    39    15    646    910    10
10    12    96    23    618    815    10
11    45    28    28    540    702    10
12    79    60    1    502    845    10
13    36    17    19    731    770    10
14    5    27    15    695    874    10
15    11    31    17    890    939    10
16    80    52    7    240    644    10
17    28    82    26    289    327    10
18    38    6    8    914    972    10
19    67    57    11    540    614    10
20    85    82    14    638    667    10
