Gen8

VEHICLE
NUMBER     CAPACITY
30     100

CUSTOMER
CUST NO.     XCOORD.     YCOORD.     DEMAND     READY TIME     DUE DATE     SERVICE TIME

0    67    98    0    0    1000    0
1    81    48    7    145    870    10
2    10    39    17    611    906    10
3    35    57    21    693    736    10
4    66    93    16    152    170    10
5    24    60    6    67    502    10
6    5    72    30    277    747    10
7    20    34    6    113    481    10
8    59    34    33    844    924    10
9    75    24    27    608    774    10
10    75    84    13    75    648    10
11    60    1    30    424    891    10
12    47    15    1    436    633    10
13    85    77    24    725    735    10
14    39    33    21    658    755    10
15    95    24    26    458    461    10
16    6    98    11    379    525    10
17    85    59    5    134    210    10
18    62    38    18    679    928    10
19    97    21    20    252    385    10
20    89    25    2    762    794    10
21    76    66    18    734    823    10
22    59    3    10    424    513    10
23    46    49    10    141    340    10
24    77    56    18    834    945    10
25    35    16    24    811    900    10
26    7    9    16    623    757    10
27    68    70    12    141    825    10
28    35    17    20    459    649    10
29    3    10    31    866    880    10
30    47    16    38    666    669    10
31    76    41    25    116    174    10
32    31    21    12    145    511    10
33    5    29    13    718    896    10
34    43    38    23    70    104    10
35    40    39    17    810    818    10
36    27    13    22    482    656    10
37    60    74    17    340    531    10
38    63    13    17    653    872    10
39    94    26    11    410    713    10
40    16    55    18    307    712    10
41    76    11    11    125    658    10
42    67    64    14    161    183    10
43    23    40    20    661    692    10
44    38    33    32    174    288    10
45    94    18    2    626    904    10
46    85    98    29    330    614    10
47    50    60    4    279    387    10
48    35    19    21    577    697    10
49    84    82    7    443    465    10
50    87    98    19    298    407    10
