Gen8

VEHICLE
NUMBER     CAPACITY
30     100

CUSTOMER
CUST NO.     XCOORD.     YCOORD.     DEMAND     READY TIME     DUE DATE     SERVICE TIME

0    58    84    0    0    1000    0
1    30    68    8    892    956    10
2    36    2    5    359    434    10
3    31    88    28    694    725    10
4    46    78    5    88    281    10
5    14    99    21    107    338    10
6    46    48    8    445    950    10
7    46    24    18    343    356    10
8    16    78    6    828    946    10
9    83    28    7    605    706    10
10    45    58    19    362    408    10
11    3    98    10    611    689    10
12    62    25    8    887    929    10
13    28    34    11    278    483    10
14    2    46    23    644    650    10
15    35    33    11    287    582    10
16    32    21    21    522    737    10
17    22    58    5    503    506    10
18    16    79    10    686    699    10
19    93    62    14    228    303    10
20    73    94    5    329    359    10
21    5    64    22    641    932    10
22    21    82    38    721    951    10
23    50    97    11    781    974    10
24    2    65    5    715    821    10
25    19    75    8    257    497    10
26    68    21    13    887    924    10
27    58    62    3    61    290    10
28    75    40    8    893    941    10
29    79    89    9    232    241    10
30    75    52    21    535    830    10
31    52    24    30    284    352    10
32    79    76    1    368    733    10
33    93    76    19    697    914    10
34    99    25    17    266    888    10
35    76    81    11    272    659    10
36    37    49    1    497    917    10
37    73    28    17    165    778    10
38    33    83    34    562    628    10
39    87    57    1    471    949    10
40    77    92    11    801    968    10
41    90    38    19    686    932    10
42    16    84    18    467    947    10
43    68    79    12    908    977    10
44    55    51    12    573    749    10
45    24    41    29    515    758    10
46    53    21    20    396    481    10
47    28    20    16    413    581    10
48    65    28    1    872    932    10
49    8    92    4    533    922    10
50    25    26    3    332    439    10
