Gen8

VEHICLE
NUMBER     CAPACITY
30     100

CUSTOMER
CUST NO.     XCOORD.     YCOORD.     DEMAND     READY TIME     DUE DATE     SERVICE TIME

0    34    52    0    0    1000    0
1    30    63    17    675    690    10
2    98    92    12    151    203    10
3    72    82    5    438    509    10
4    95    1    29    250    473    10
5    17    14    26    479    763    10
6    35    99    5    312    733    10
7    45    64    9    52    223    10
8    14    45    24    679    698    10
9    56    96    3    881    940    10
10    43    70    12    539    602    10
11    85    74    15    674    728    10
12    54    98    9    531    590    10
13    61    82    25    243    470    10
14    2    9    16    778    935    10
15    95    63    32    351    562    10
16    35    52    39    926    987    10
17    67    32    17    220    606    10
18    47    0    24    824    935    10
19    80    23    12    541    831    10
20    4    82    6    444    825    10
21    68    22    16    103    472    10
22    21    58    1    380    757    10
23    55    17    2    789    948    10
24    48    31    20    623    841    10
25    38    2    21    343    512    10
26    3    99    25    434    656    10
27    63    89    14    331    742    10
28    68    25    23    141    206    10
29    21    43    13    803    870    10
30    90    84    15    687    860    10
31    39    44    15    65    504    10
32    31    39    1    221    280    10
33    93    54    24    459    548    10
34    8    10    14    277    720    10
35    15    15    15    829    948    10
36    53    62    23    338    436    10
37    76    62    21    900    945    10
38    53    33    6    908    962    10
39    15    69    2    715    941    10
40    82    40    17    88    189    10
41    72    69    17    639    929    10
42    71    63    22    296    350    10
43    10    60    2    373    498    10
44    71    78    7    396    915    10
45    52    86    17    234    329    10
46    49    99    15    646    807    10
47    75    33    14    662    824    10
48    10    98    24    75    175    10
49    8    53    13    333    605    10
50    51    31    1    840    961    10
