Gen8

VEHICLE
NUMBER     CAPACITY
30     700

CUSTOMER
CUST NO.     XCOORD.     YCOORD.     DEMAND     READY TIME     DUE DATE     SERVICE TIME

0    30    53    0    0    1000    0
1    39    69    15    852    970    10
2    80    80    42    525    628    10
3    68    6    10    600    928    10
4    21    47    23    410    625    10
5    26    35    7    609    743    10
6    77    15    32    239    456    10
7    98    35    32    783    801    10
8    66    16    2    410    805    10
9    99    50    11    579    843    10
10    68    49    22    803    950    10
11    82    92    21    468    835    10
12    23    99    23    471    754    10
13    62    45    4    116    828    10
14    43    87    5    129    629    10
15    59    43    23    662    725    10
16    40    77    36    190    365    10
17    50    64    22    681    919    10
18    95    82    26    577    634    10
19    90    96    7    544    567    10
20    13    97    15    826    941    10
21    85    59    20    641    774    10
22    65    82    18    317    473    10
23    67    43    26    598    800    10
24    52    92    11    307    310    10
25    92    99    20    544    854    10
26    63    16    29    444    681    10
27    89    26    17    286    441    10
28    68    69    14    68    94    10
29    33    16    15    214    326    10
30    15    30    31    733    758    10
31    61    59    7    867    958    10
32    59    51    8    821    959    10
33    28    23    7    802    959    10
34    28    51    21    869    986    10
35    70    21    22    488    937    10
36    43    42    5    129    247    10
37    13    53    11    914    971    10
38    90    94    24    405    753    10
39    68    47    1    288    667    10
40    67    38    14    943    949    10
41    98    30    7    813    917    10
42    86    61    16    452    731    10
43    49    55    14    610    921    10
44    82    0    8    494    713    10
45    55    58    42    613    964    10
46    54    34    24    77    413    10
47    92    80    22    761    921    10
48    38    6    14    647    941    10
49    43    17    1    108    356    10
50    99    42    17    556    919    10
51    55    2    33    399    565    10
52    71    43    5    314    427    10
53    62    15    21    851    882    10
54    24    12    10    269    274    10
55    80    28    14    442    445    10
56    85    15    11    411    448    10
57    96    88    17    427    435    10
58    85    88    15    67    334    10
59    59    36    2    771    834    10
60    84    20    33    387    870    10
61    18    28    13    415    748    10
62    83    67    31    453    625    10
63    65    65    18    167    499    10
64    92    82    27    166    494    10
65    62    11    1    827    935    10
66    5    95    10    139    390    10
67    98    93    6    627    737    10
68    68    94    29    891    932    10
69    60    63    9    271    461    10
70    48    16    10    503    947    10
71    42    41    15    269    678    10
72    32    48    15    236    593    10
73    48    52    17    253    627    10
74    61    55    7    811    957    10
75    59    45    8    545    959    10
76    65    91    16    656    937    10
77    30    80    1    384    522    10
78    38    3    16    497    938    10
79    49    59    8    788    969    10
80    59    58    27    408    517    10
81    95    89    24    905    914    10
82    9    41    22    899    908    10
83    90    99    20    472    913    10
84    2    98    26    812    936    10
85    22    25    15    645    894    10
86    94    99    10    248    869    10
87    95    88    34    160    441    10
88    17    86    5    665    853    10
89    75    59    1    128    247    10
90    56    95    10    898    926    10
91    59    72    18    851    954    10
92    23    79    19    594    625    10
93    10    12    11    404    943    10
94    27    11    27    671    930    10
95    11    14    5    311    324    10
96    82    3    6    113    247    10
97    73    75    1    880    940    10
98    72    82    11    809    937    10
99    86    74    5    618    928    10
100    61    39    12    469    527    10
101    81    40    15    402    457    10
102    97    89    28    583    602    10
103    27    11    16    302    381    10
104    18    40    19    888    971    10
105    43    71    10    597    966    10
106    66    68    7    136    620    10
107    96    77    20    826    919    10
108    10    95    10    305    320    10
109    38    87    5    107    863    10
110    25    77    42    500    964    10
111    93    55    2    815    926    10
112    90    76    6    364    748    10
113    7    52    14    591    642    10
114    47    97    12    457    460    10
115    53    79    13    396    442    10
116    62    77    7    160    416    10
117    35    76    18    891    965    10
118    7    58    8    959    965    10
119    4    23    17    723    949    10
120    93    60    22    363    499    10
121    91    48    8    771    928    10
122    17    94    13    538    765    10
123    87    98    27    311    411    10
124    9    57    9    754    858    10
125    28    75    5    845    967    10
126    93    54    28    860    895    10
127    79    5    25    176    366    10
128    27    29    2    920    964    10
129    10    69    5    65    548    10
130    91    58    7    283    729    10
131    30    70    11    121    181    10
132    55    17    18    841    945    10
133    57    18    33    668    679    10
134    9    83    9    182    331    10
135    91    44    25    881    927    10
136    38    53    4    805    981    10
137    77    68    9    527    847    10
138    60    75    1    189    508    10
139    97    3    5    707    905    10
140    61    89    8    688    941    10
141    44    24    19    243    439    10
142    52    84    25    60    519    10
143    99    97    25    772    907    10
144    70    67    5    830    889    10
145    52    43    3    546    549    10
146    16    9    23    782    943    10
147    42    38    8    399    590    10
148    25    47    3    574    592    10
149    49    0    18    795    932    10
150    61    68    3    813    880    10
